00873603	_also_see	00884778
01460421	_also_see	01244410
02464693	_also_see	00724081
00289082	_also_see	01752167
01931768	_derivationally_related_form	00815173
00366691	_derivationally_related_form	04975340
00201407	_derivationally_related_form	00751145
00514871	_derivationally_related_form	00248063
02771320	_derivationally_related_form	14215331
03047941	_derivationally_related_form	02724126
00654625	_derivationally_related_form	08239808
01747945	_derivationally_related_form	06678302
00241038	_derivationally_related_form	07313004
02102484	_derivationally_related_form	02106006
05075602	_derivationally_related_form	02333689
00768778	_derivationally_related_form	00159899
02579447	_derivationally_related_form	00272713
02447793	_derivationally_related_form	01139830
09437369	_derivationally_related_form	01558883
01800422	_derivationally_related_form	00271263
00276987	_derivationally_related_form	00493259
01323338	_derivationally_related_form	15032376
03925226	_derivationally_related_form	02838592
01435380	_derivationally_related_form	01142519
00966869	_derivationally_related_form	02344568
00334935	_derivationally_related_form	01499265
08244062	_derivationally_related_form	10120085
02321757	_derivationally_related_form	10707804
13573181	_derivationally_related_form	00379774
00981944	_derivationally_related_form	07125958
02504131	_derivationally_related_form	00123170
01774426	_derivationally_related_form	07503430
09179776	_derivationally_related_form	00770437
00626428	_derivationally_related_form	10508710
07443010	_derivationally_related_form	01521124
03472232	_derivationally_related_form	00099721
07363346	_derivationally_related_form	01970826
02575082	_derivationally_related_form	00752431
04590746	_derivationally_related_form	01392237
13925550	_derivationally_related_form	00461493
07985223	_derivationally_related_form	01292885
02400760	_derivationally_related_form	10760340
00968211	_derivationally_related_form	10483138
00203342	_derivationally_related_form	00685683
02016523	_derivationally_related_form	07370125
02416751	_derivationally_related_form	09935793
10254761	_derivationally_related_form	06072476
01110274	_derivationally_related_form	02244956
13423615	_derivationally_related_form	01254013
10734963	_derivationally_related_form	03612965
00546192	_derivationally_related_form	15109745
01740969	_derivationally_related_form	00918383
01118081	_derivationally_related_form	00788821
00751779	_derivationally_related_form	00835506
01511706	_derivationally_related_form	00104249
01463963	_derivationally_related_form	05075602
02686952	_derivationally_related_form	13913427
00234423	_derivationally_related_form	02535896
00686890	_derivationally_related_form	01010118
01174742	_derivationally_related_form	00841091
06674542	_derivationally_related_form	00970732
00543410	_derivationally_related_form	13464820
00192836	_derivationally_related_form	10056103
01569181	_derivationally_related_form	00225593
06503224	_derivationally_related_form	00277399
00594836	_derivationally_related_form	09931640
01045419	_derivationally_related_form	10776339
14486767	_derivationally_related_form	00475183
04119892	_derivationally_related_form	02362798
01056411	_derivationally_related_form	01862918
00842692	_derivationally_related_form	02765692
00827379	_derivationally_related_form	01271189
06877742	_derivationally_related_form	00034758
00156101	_derivationally_related_form	02373785
01336587	_derivationally_related_form	05645597
10387196	_derivationally_related_form	04091839
04159058	_derivationally_related_form	01356582
04671394	_derivationally_related_form	00724861
00607405	_derivationally_related_form	05996646
01530431	_derivationally_related_form	05582859
00904690	_derivationally_related_form	06740644
02349212	_derivationally_related_form	08324514
06798750	_derivationally_related_form	01275762
01500082	_derivationally_related_form	02818832
15015501	_derivationally_related_form	00504901
11795366	_hypernym	11556857
12636705	_hypernym	11585340
02578604	_hypernym	01432517
02260770	_hypernym	02260362
12972629	_hypernym	08103777
06838543	_hypernym	06828818
01566386	_hypernym	01504437
01946118	_hypernym	01938850
08898187	_instance_hypernym	08633957
08030711	_instance_hypernym	08392137
08962951	_instance_hypernym	08524735
09373716	_instance_hypernym	09411430
01693138	_synset_domain_topic_of	00933420
01960779	_synset_domain_topic_of	00299217
00931467	_verb_group	00932161
